name	description	function	returns	argument	type	details
ee.Geometry.LinearRing.area	Returns the area of the geometry. Area of points and line strings is 0, and the area of multi geometries is the sum of the areas of their componenets (intersecting areas are counted multiple times).	LinearRing.area(maxError, proj)	Float	geometry|maxError|proj	Geometry|ErrorMargin, default: null|Projection, default: null	The geometry input.|The maximum amount of error tolerated when performing any  necessary reprojection.|If specified, the result will be in the units of the coordinate system of this projection. Otherwise it  will be in square meters.
ee.Geometry.LinearRing.aside	Calls a function passing this object as the first argument, and returning itself. Convenient e.g. when debugging:	LinearRing.aside(func, var_args)	ComputedObject	computedobject|func|var_args	ComputedObject|Function|VarArgs	The ComputedObject instance.|The function to call.|Any extra arguments to pass to the function.
ee.Geometry.LinearRing.bounds	Returns the bounding rectangle of the geometry.	LinearRing.bounds(maxError, proj)	Geometry	geometry|maxError|proj	Geometry|ErrorMargin, default: null|Projection, default: null	Return the bounding box of this geometry.|The maximum amount of error tolerated when performing any necessary reprojection.|If specified, the result will be in this projection. Otherwise it will be in WGS84.
ee.Geometry.LinearRing.buffer	Returns the input buffered by a given distance. If the distance is positive, the geometry is expanded, and if the distance is negative, the geometry is contracted.	LinearRing.buffer(distance, maxError, proj)	Geometry	geometry|distance|maxError|proj	Geometry|Float|ErrorMargin, default: null|Projection, default: null	The geometry being buffered.|The distance of the buffering, which may be negative. If no projection is specified, the unit is meters. Otherwise the unit is in the coordinate system of the projection.|The maximum amount of error tolerated when approximating the buffering circle and performing any necessary reprojection. If unspecified, defaults to 1% of the distance.|If specified, the buffering will be performed in this projection and the distance will be interpreted as units of the coordinate system of this projection. Otherwise the distance is interpereted as meters and the buffering is performed in a spherical coordinate system.
ee.Geometry.LinearRing.centroid	Returns a point at the center of the highest-dimension components of the geometry. Lower-dimensional components are ignored, so the centroid of a geometry containing two polygons, three lines and a point is equivalent to the centroid of a geometry containing just the two polygons.	LinearRing.centroid(maxError, proj)	Geometry	geometry|maxError|proj	Geometry|ErrorMargin, default: null|Projection, default: null	Calculates the centroid of this geometry.|The maximum amount of error tolerated when performing any necessary reprojection.|If specified, the result will be in this projection. Otherwise it will be in WGS84.
ee.Geometry.LinearRing.containedIn	Returns true iff one geometry is contained in the other.	LinearRing.containedIn(right, maxError, proj)	Boolean	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.LinearRing.contains	Returns true iff one geometry contains the other.	LinearRing.contains(right, maxError, proj)	Boolean	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.LinearRing.convexHull	Returns the convex hull of the given geometry. The convex hull of a single point is the point itself, the convex hull of collinear points is a line, and the convex hull of  everything else is a polygon. Note that a degenerate polygon with all vertices on the same line will result in a line segment.	LinearRing.convexHull(maxError, proj)	Geometry	geometry|maxError|proj	Geometry|ErrorMargin, default: null|Projection, default: null	Calculates the convex hull of this geometry.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.LinearRing.coordinates	Returns a GeoJSON-style list of the geometry's coordinates.	LinearRing.coordinates()	List	geometry	Geometry
ee.Geometry.LinearRing.cutLines	Converts LineStrings into a MultiLineString by cutting it in two at each distance along the length of the LineString.	LinearRing.cutLines(distances, maxError, proj)	Geometry	geometry|distances|maxError|proj	Geometry|List|ErrorMargin, default: null|Projection, default: null	Cuts the lines of this geometry.|Distances along each LineString to cut the line into separate pieces, measured in units of the given proj, or meters if proj is unspecified.|The maximum amount of error tolerated when performing any necessary reprojection.|Projection of the result and distance measurements, or WGS84 if unspecified.
ee.Geometry.LinearRing.difference	Returns the result of subtracting the 'right' geometry from the 'left' geometry.	LinearRing.difference(right, maxError, proj)	Geometry	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.LinearRing.disjoint	Returns true iff the geometries are disjoint.	LinearRing.disjoint(right, maxError, proj)	Boolean	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.LinearRing.dissolve	Returns the union of the geometry. This leaves single geometries untouched, and unions multi geometries.	LinearRing.dissolve(maxError, proj)	Geometry	geometry|maxError|proj	Geometry|ErrorMargin, default: null|Projection, default: null	The geometry to union.|The maximum amount of error tolerated when performing any  necessary reprojection.|If specified, the union will be performed in this projection. Otherwise it will be performed in a spherical coordinate system.
ee.Geometry.LinearRing.distance	Returns the minimum distance between two geometries.	LinearRing.distance(right, maxError, proj)	Float	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.LinearRing.edgesAreGeodesics	Returns true if the geometry edges, if any, are geodesics along a spherical model of the earth; if false, any edges are straight lines in the projection.	LinearRing.edgesAreGeodesics()	Boolean	geometry	Geometry
ee.Geometry.LinearRing.evaluate	Asynchronously retrieves the value of this object from the server and passes it to the provided callback function.	LinearRing.evaluate(callback)		computedobject|callback	ComputedObject|Function	The ComputedObject instance.|A function of the form function(success, failure), called when the server returns an answer. If the request succeeded, the success argument contains the evaluated result.  If the request failed, the failure argument will contains an error message.
ee.Geometry.LinearRing.geodesic	If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth.	LinearRing.geodesic()	Boolean	geometry	Geometry
ee.Geometry.LinearRing.geometries	Returns the list of geometries in a GeometryCollection, or a singleton list of the geometry for single geometries.	LinearRing.geometries()	List	geometry	Geometry
ee.Geometry.LinearRing.getInfo	Retrieves the value of this object from the server.	LinearRing.getInfo(callback)	Object	computedobject|callback	ComputedObject|Function, optional	The ComputedObject instance.|An optional callback. If not supplied, the call is made synchronously.
ee.Geometry.LinearRing.intersection	Returns the intersection of the two geometries.	LinearRing.intersection(right, maxError, proj)	Geometry	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.LinearRing.intersects	Returns true iff the geometries intersect.	LinearRing.intersects(right, maxError, proj)	Boolean	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.LinearRing.isUnbounded	Returns whether the geometry is unbounded.	LinearRing.isUnbounded()	Boolean	geometry	Geometry
ee.Geometry.LinearRing.length	Returns the length of the linear parts of the geometry. Polygonal parts are ignored. The length of multi geometries is the sum of the lengths of their components.	LinearRing.length(maxError, proj)	Float	geometry|maxError|proj	Geometry|ErrorMargin, default: null|Projection, default: null	The input geometry.|The maximum amount of error tolerated when performing any necessary reprojection.|If specified, the result will be in the units of the coordinate system of this projection. Otherwise it will be in meters.
ee.Geometry.LinearRing.perimeter	Returns the length of the perimeter of the polygonal parts of the geometry. The perimeter of multi geometries is the sum of the perimeters of their components.	LinearRing.perimeter(maxError, proj)	Float	geometry|maxError|proj	Geometry|ErrorMargin, default: null|Projection, default: null	The input geometry.|The maximum amount of error tolerated when performing any necessary reprojection.|If specified, the result will be in the units of the coordinate system of this projection. Otherwise it will be in meters.
ee.Geometry.LinearRing.projection	Returns the projection of the geometry.	LinearRing.projection()	Projection	geometry	Geometry
ee.Geometry.LinearRing.serialize	Returns the serialized representation of this object.	LinearRing.serialize()	String	geometry	Geometry	The Geometry instance.
ee.Geometry.LinearRing.simplify	Simplifies the geometry to within a given error margin. Note that this does not respect the error margin requested by the consumer of this algorithm, unless maxError is explicitly specified to be null.	LinearRing.simplify(maxError, proj)	Geometry	geometry|maxError|proj	Geometry|ErrorMargin|Projection, default: null	The geometry to simplify.|The maximum amount of error by which the result may differ from the input.|If specified, the result will be in this projection. Otherwise it will be in the same projection as the input. If the error margin is in projected units, the margin will be interpreted as units of this projection
ee.Geometry.LinearRing.symmetricDifference	Returns the symmetric difference between two geometries.	LinearRing.symmetricDifference(right, maxError, proj)	Geometry	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.LinearRing.toGeoJSON	Returns a GeoJSON representation of the geometry.	LinearRing.toGeoJSON()	GeoJSONGeometry	geometry	Geometry	The Geometry instance.
ee.Geometry.LinearRing.toGeoJSONString	Returns a GeoJSON string representation of the geometry.	LinearRing.toGeoJSONString()	String	geometry	Geometry	The Geometry instance.
ee.Geometry.LinearRing.transform	Transforms the geometry to a specific projection.	LinearRing.transform(proj, maxError)	Geometry	geometry|proj|maxError	Geometry|Projection, optional|ErrorMargin, default: null	The geometry to reproject.|The target projection. Defaults to WGS84. If this has a geographic CRS, the edges of the geometry will be interpreted as geodesics. Otherwise they will be interpreted as straight lines in the projection.|The maximum projection error.
ee.Geometry.LinearRing.type	Returns the GeoJSON type of the geometry.	LinearRing.type()	String	geometry	Geometry
ee.Geometry.LinearRing.union	Returns the union of the two geometries.	LinearRing.union(right, maxError, proj)	Geometry	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.LinearRing.withinDistance	Returns true iff the geometries are within a specified distance.	LinearRing.withinDistance(right, distance, maxError, proj)	Boolean	left|right|distance|maxError|proj	Geometry|Geometry|Float|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The distance threshold. If a projection is specified, the distance is in units of that projected coordinate system, otherwise it is in meters.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.MultiLineString	Constructs an ee.Geometry describing a MultiLineString.	ee.Geometry.MultiLineString(coords, proj, geodesic, maxError)	Geometry.MultiLineString	coords|proj|geodesic|maxError	List|Projection, optional|Boolean, optional|ErrorMargin, optional	A list of linestrings. May be a list of coordinates in the GeoJSON|'MultiLineString' format, a list of at least two ee.Geometry describing a LineString, or a list of number defining a single linestring.|The projection of this geometry. If unspecified, the default is the projection of the input ee.Geometry, or EPSG:4326 if there are no ee.Geometry inputs.|If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.|Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.
ee.Geometry.MultiLineString.area	Returns the area of the geometry. Area of points and line strings is 0, and the area of multi geometries is the sum of the areas of their componenets (intersecting areas are counted multiple times).	MultiLineString.area(maxError, proj)	Float	geometry|maxError|proj	Geometry|ErrorMargin, default: null|Projection, default: null	The geometry input.|The maximum amount of error tolerated when performing any  necessary reprojection.|If specified, the result will be in the units of the coordinate system of this projection. Otherwise it  will be in square meters.
ee.Geometry.MultiLineString.aside	Calls a function passing this object as the first argument, and returning itself. Convenient e.g. when debugging:	MultiLineString.aside(func, var_args)	ComputedObject	computedobject|func|var_args	ComputedObject|Function|VarArgs	The ComputedObject instance.|The function to call.|Any extra arguments to pass to the function.
ee.Geometry.MultiLineString.bounds	Returns the bounding rectangle of the geometry.	MultiLineString.bounds(maxError, proj)	Geometry	geometry|maxError|proj	Geometry|ErrorMargin, default: null|Projection, default: null	Return the bounding box of this geometry.|The maximum amount of error tolerated when performing any necessary reprojection.|If specified, the result will be in this projection. Otherwise it will be in WGS84.
ee.Geometry.MultiLineString.buffer	Returns the input buffered by a given distance. If the distance is positive, the geometry is expanded, and if the distance is negative, the geometry is contracted.	MultiLineString.buffer(distance, maxError, proj)	Geometry	geometry|distance|maxError|proj	Geometry|Float|ErrorMargin, default: null|Projection, default: null	The geometry being buffered.|The distance of the buffering, which may be negative. If no projection is specified, the unit is meters. Otherwise the unit is in the coordinate system of the projection.|The maximum amount of error tolerated when approximating the buffering circle and performing any necessary reprojection. If unspecified, defaults to 1% of the distance.|If specified, the buffering will be performed in this projection and the distance will be interpreted as units of the coordinate system of this projection. Otherwise the distance is interpereted as meters and the buffering is performed in a spherical coordinate system.
ee.Geometry.MultiLineString.centroid	Returns a point at the center of the highest-dimension components of the geometry. Lower-dimensional components are ignored, so the centroid of a geometry containing two polygons, three lines and a point is equivalent to the centroid of a geometry containing just the two polygons.	MultiLineString.centroid(maxError, proj)	Geometry	geometry|maxError|proj	Geometry|ErrorMargin, default: null|Projection, default: null	Calculates the centroid of this geometry.|The maximum amount of error tolerated when performing any necessary reprojection.|If specified, the result will be in this projection. Otherwise it will be in WGS84.
ee.Geometry.MultiLineString.containedIn	Returns true iff one geometry is contained in the other.	MultiLineString.containedIn(right, maxError, proj)	Boolean	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.MultiLineString.contains	Returns true iff one geometry contains the other.	MultiLineString.contains(right, maxError, proj)	Boolean	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.MultiLineString.convexHull	Returns the convex hull of the given geometry. The convex hull of a single point is the point itself, the convex hull of collinear points is a line, and the convex hull of  everything else is a polygon. Note that a degenerate polygon with all vertices on the same line will result in a line segment.	MultiLineString.convexHull(maxError, proj)	Geometry	geometry|maxError|proj	Geometry|ErrorMargin, default: null|Projection, default: null	Calculates the convex hull of this geometry.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.MultiLineString.coordinates	Returns a GeoJSON-style list of the geometry's coordinates.	MultiLineString.coordinates()	List	geometry	Geometry
ee.Geometry.MultiLineString.cutLines	Converts LineStrings into a MultiLineString by cutting it in two at each distance along the length of the LineString.	MultiLineString.cutLines(distances, maxError, proj)	Geometry	geometry|distances|maxError|proj	Geometry|List|ErrorMargin, default: null|Projection, default: null	Cuts the lines of this geometry.|Distances along each LineString to cut the line into separate pieces, measured in units of the given proj, or meters if proj is unspecified.|The maximum amount of error tolerated when performing any necessary reprojection.|Projection of the result and distance measurements, or WGS84 if unspecified.
ee.Geometry.MultiLineString.difference	Returns the result of subtracting the 'right' geometry from the 'left' geometry.	MultiLineString.difference(right, maxError, proj)	Geometry	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.MultiLineString.disjoint	Returns true iff the geometries are disjoint.	MultiLineString.disjoint(right, maxError, proj)	Boolean	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.MultiLineString.dissolve	Returns the union of the geometry. This leaves single geometries untouched, and unions multi geometries.	MultiLineString.dissolve(maxError, proj)	Geometry	geometry|maxError|proj	Geometry|ErrorMargin, default: null|Projection, default: null	The geometry to union.|The maximum amount of error tolerated when performing any  necessary reprojection.|If specified, the union will be performed in this projection. Otherwise it will be performed in a spherical coordinate system.
ee.Geometry.MultiLineString.distance	Returns the minimum distance between two geometries.	MultiLineString.distance(right, maxError, proj)	Float	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.MultiLineString.edgesAreGeodesics	Returns true if the geometry edges, if any, are geodesics along a spherical model of the earth; if false, any edges are straight lines in the projection.	MultiLineString.edgesAreGeodesics()	Boolean	geometry	Geometry
ee.Geometry.MultiLineString.evaluate	Asynchronously retrieves the value of this object from the server and passes it to the provided callback function.	MultiLineString.evaluate(callback)		computedobject|callback	ComputedObject|Function	The ComputedObject instance.|A function of the form function(success, failure), called when the server returns an answer. If the request succeeded, the success argument contains the evaluated result.  If the request failed, the failure argument will contains an error message.
ee.Geometry.MultiLineString.geodesic	If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth.	MultiLineString.geodesic()	Boolean	geometry	Geometry
ee.Geometry.MultiLineString.geometries	Returns the list of geometries in a GeometryCollection, or a singleton list of the geometry for single geometries.	MultiLineString.geometries()	List	geometry	Geometry
ee.Geometry.MultiLineString.getInfo	Retrieves the value of this object from the server.	MultiLineString.getInfo(callback)	Object	computedobject|callback	ComputedObject|Function, optional	The ComputedObject instance.|An optional callback. If not supplied, the call is made synchronously.
ee.Geometry.MultiLineString.intersection	Returns the intersection of the two geometries.	MultiLineString.intersection(right, maxError, proj)	Geometry	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.MultiLineString.intersects	Returns true iff the geometries intersect.	MultiLineString.intersects(right, maxError, proj)	Boolean	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.MultiLineString.isUnbounded	Returns whether the geometry is unbounded.	MultiLineString.isUnbounded()	Boolean	geometry	Geometry
ee.Geometry.MultiLineString.length	Returns the length of the linear parts of the geometry. Polygonal parts are ignored. The length of multi geometries is the sum of the lengths of their components.	MultiLineString.length(maxError, proj)	Float	geometry|maxError|proj	Geometry|ErrorMargin, default: null|Projection, default: null	The input geometry.|The maximum amount of error tolerated when performing any necessary reprojection.|If specified, the result will be in the units of the coordinate system of this projection. Otherwise it will be in meters.
ee.Geometry.MultiLineString.perimeter	Returns the length of the perimeter of the polygonal parts of the geometry. The perimeter of multi geometries is the sum of the perimeters of their components.	MultiLineString.perimeter(maxError, proj)	Float	geometry|maxError|proj	Geometry|ErrorMargin, default: null|Projection, default: null	The input geometry.|The maximum amount of error tolerated when performing any necessary reprojection.|If specified, the result will be in the units of the coordinate system of this projection. Otherwise it will be in meters.
ee.Geometry.MultiLineString.projection	Returns the projection of the geometry.	MultiLineString.projection()	Projection	geometry	Geometry
ee.Geometry.MultiLineString.serialize	Returns the serialized representation of this object.	MultiLineString.serialize()	String	geometry	Geometry	The Geometry instance.
ee.Geometry.MultiLineString.simplify	Simplifies the geometry to within a given error margin. Note that this does not respect the error margin requested by the consumer of this algorithm, unless maxError is explicitly specified to be null.	MultiLineString.simplify(maxError, proj)	Geometry	geometry|maxError|proj	Geometry|ErrorMargin|Projection, default: null	The geometry to simplify.|The maximum amount of error by which the result may differ from the input.|If specified, the result will be in this projection. Otherwise it will be in the same projection as the input. If the error margin is in projected units, the margin will be interpreted as units of this projection
ee.Geometry.MultiLineString.symmetricDifference	Returns the symmetric difference between two geometries.	MultiLineString.symmetricDifference(right, maxError, proj)	Geometry	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.MultiLineString.toGeoJSON	Returns a GeoJSON representation of the geometry.	MultiLineString.toGeoJSON()	GeoJSONGeometry	geometry	Geometry	The Geometry instance.
ee.Geometry.MultiLineString.toGeoJSONString	Returns a GeoJSON string representation of the geometry.	MultiLineString.toGeoJSONString()	String	geometry	Geometry	The Geometry instance.
ee.Geometry.MultiLineString.transform	Transforms the geometry to a specific projection.	MultiLineString.transform(proj, maxError)	Geometry	geometry|proj|maxError	Geometry|Projection, optional|ErrorMargin, default: null	The geometry to reproject.|The target projection. Defaults to WGS84. If this has a geographic CRS, the edges of the geometry will be interpreted as geodesics. Otherwise they will be interpreted as straight lines in the projection.|The maximum projection error.
ee.Geometry.MultiLineString.type	Returns the GeoJSON type of the geometry.	MultiLineString.type()	String	geometry	Geometry
ee.Geometry.MultiLineString.union	Returns the union of the two geometries.	MultiLineString.union(right, maxError, proj)	Geometry	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.MultiLineString.withinDistance	Returns true iff the geometries are within a specified distance.	MultiLineString.withinDistance(right, distance, maxError, proj)	Boolean	left|right|distance|maxError|proj	Geometry|Geometry|Float|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The distance threshold. If a projection is specified, the distance is in units of that projected coordinate system, otherwise it is in meters.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.MultiPoint	Constructs an ee.Geometry describing a MultiPoint.	ee.Geometry.MultiPoint(coords, proj)	Geometry.MultiPoint	coords|proj	List|Projection, optional	A list of points, each in the GeoJSON 'coordinates' format of a Point, or a list of the x,y coordinates in the given projection, or an ee.Geometry describing a point.|The projection of this geometry. If unspecified, the default is the projection of the input ee.Geometry, or EPSG:4326 if there are no ee.Geometry inputs.
ee.Geometry.MultiPoint.area	Returns the area of the geometry. Area of points and line strings is 0, and the area of multi geometries is the sum of the areas of their componenets (intersecting areas are counted multiple times).	MultiPoint.area(maxError, proj)	Float	geometry|maxError|proj	Geometry|ErrorMargin, default: null|Projection, default: null	The geometry input.|The maximum amount of error tolerated when performing any  necessary reprojection.|If specified, the result will be in the units of the coordinate system of this projection. Otherwise it  will be in square meters.
ee.Geometry.MultiPoint.aside	Calls a function passing this object as the first argument, and returning itself. Convenient e.g. when debugging:	MultiPoint.aside(func, var_args)	ComputedObject	computedobject|func|var_args	ComputedObject|Function|VarArgs	The ComputedObject instance.|The function to call.|Any extra arguments to pass to the function.
ee.Geometry.MultiPoint.bounds	Returns the bounding rectangle of the geometry.	MultiPoint.bounds(maxError, proj)	Geometry	geometry|maxError|proj	Geometry|ErrorMargin, default: null|Projection, default: null	Return the bounding box of this geometry.|The maximum amount of error tolerated when performing any necessary reprojection.|If specified, the result will be in this projection. Otherwise it will be in WGS84.
ee.Geometry.MultiPoint.buffer	Returns the input buffered by a given distance. If the distance is positive, the geometry is expanded, and if the distance is negative, the geometry is contracted.	MultiPoint.buffer(distance, maxError, proj)	Geometry	geometry|distance|maxError|proj	Geometry|Float|ErrorMargin, default: null|Projection, default: null	The geometry being buffered.|The distance of the buffering, which may be negative. If no projection is specified, the unit is meters. Otherwise the unit is in the coordinate system of the projection.|The maximum amount of error tolerated when approximating the buffering circle and performing any necessary reprojection. If unspecified, defaults to 1% of the distance.|If specified, the buffering will be performed in this projection and the distance will be interpreted as units of the coordinate system of this projection. Otherwise the distance is interpereted as meters and the buffering is performed in a spherical coordinate system.
ee.Geometry.MultiPoint.centroid	Returns a point at the center of the highest-dimension components of the geometry. Lower-dimensional components are ignored, so the centroid of a geometry containing two polygons, three lines and a point is equivalent to the centroid of a geometry containing just the two polygons.	MultiPoint.centroid(maxError, proj)	Geometry	geometry|maxError|proj	Geometry|ErrorMargin, default: null|Projection, default: null	Calculates the centroid of this geometry.|The maximum amount of error tolerated when performing any necessary reprojection.|If specified, the result will be in this projection. Otherwise it will be in WGS84.
ee.Geometry.MultiPoint.containedIn	Returns true iff one geometry is contained in the other.	MultiPoint.containedIn(right, maxError, proj)	Boolean	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.MultiPoint.contains	Returns true iff one geometry contains the other.	MultiPoint.contains(right, maxError, proj)	Boolean	left|right|maxError|proj	Geometry|Geometry|ErrorMargin, default: null|Projection, default: null	The geometry used as the left operand of the operation.|The geometry used as the right operand of the operation.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.MultiPoint.convexHull	Returns the convex hull of the given geometry. The convex hull of a single point is the point itself, the convex hull of collinear points is a line, and the convex hull of  everything else is a polygon. Note that a degenerate polygon with all vertices on the same line will result in a line segment.	MultiPoint.convexHull(maxError, proj)	Geometry	geometry|maxError|proj	Geometry|ErrorMargin, default: null|Projection, default: null	Calculates the convex hull of this geometry.|The maximum amount of error tolerated when performing any necessary reprojection.|The projection in which to perform the operation. If not specified, the operation will be performed in a spherical coordinate system, and linear distances will be in meters on the sphere.
ee.Geometry.MultiPoint.coordinates	Returns a GeoJSON-style list of the geometry's coordinates.	MultiPoint.coordinates()	List	geometry	Geometry
