id,provider,title,start_date,end_date,startyear,endyear,type,tags,asset_url,thumbnail_url
JRC/D5/EUCROPMAP/V1,Joint Research Center (JRC),EUCROPMAP,2018-01-01,2022-01-01,2018,2022,image_collection,"agriculture, crop, eu, jrc, lucas, sentinel1-derived",https://developers.google.com/earth-engine/datasets/catalog/JRC_D5_EUCROPMAP_V1,https://developers.google.com/earth-engine/datasets/images/JRC/JRC_D5_EUCROPMAP_V1_sample.png
JRC/GFC2020/V3,"Joint Research Centre, European Commission","EC JRC global map of forest cover 2020, V3",2020-12-31,2020-12-31,2020,2020,image,"eudr, forest, forest-biomass, jrc",https://developers.google.com/earth-engine/datasets/catalog/JRC_GFC2020_V3,https://developers.google.com/earth-engine/datasets/images/JRC/JRC_GFC2020_V3_sample.png
JRC/GFC2020_subtypes/V0,"Joint Research Centre, European Commission",Global map of forest types 2020,2020-01-01,2020-12-31,2020,2020,image_collection,"eudr, forest, forest-biomass, jrc, landcover, primary-forest",https://developers.google.com/earth-engine/datasets/catalog/JRC_GFC2020_subtypes_V0,https://developers.google.com/earth-engine/datasets/images/JRC/JRC_GFC2020_subtypes_V0_sample.png
JRC/GHSL/P2023A/GHS_BUILT_C,EC JRC,GHSL: Global settlement characteristics (10 m) 2018 (P2023A),2018-01-01,2018-12-31,2018,2018,image_collection,"building, built, builtup, copernicus, ghsl, height, jrc, landcover, population, roads, sdg, sentinel2-derived, settlement, urban",https://developers.google.com/earth-engine/datasets/catalog/JRC_GHSL_P2023A_GHS_BUILT_C,https://developers.google.com/earth-engine/datasets/images/JRC/JRC_GHSL_P2023A_GHS_BUILT_C_sample.png
JRC/GHSL/P2023A/GHS_BUILT_H,EC JRC,GHSL: Global building height 2018 (P2023A),2018-01-01,2018-12-31,2018,2018,image_collection,"alos, building, built, built-environment, builtup, copernicus, dem, ghsl, height, jrc, population, sdg, sentinel2-derived, srtm, urban",https://developers.google.com/earth-engine/datasets/catalog/JRC_GHSL_P2023A_GHS_BUILT_H,https://developers.google.com/earth-engine/datasets/images/JRC/JRC_GHSL_P2023A_GHS_BUILT_H_sample.png
JRC/GHSL/P2023A/GHS_BUILT_S,EC JRC,GHSL: Global built-up surface 1975-2030 (P2023A),1975-01-01,2030-12-31,1975,2030,image_collection,"built, built-environment, builtup, copernicus, ghsl, jrc, landcover, landsat-derived, population, sdg, sentinel2-derived, settlement, urban",https://developers.google.com/earth-engine/datasets/catalog/JRC_GHSL_P2023A_GHS_BUILT_S,https://developers.google.com/earth-engine/datasets/images/JRC/JRC_GHSL_P2023A_GHS_BUILT_S_sample.png
JRC/GHSL/P2023A/GHS_BUILT_S_10m,EC JRC,GHSL: Global built-up surface 10m (P2023A),2018-01-01,2019-01-01,2018,2019,image_collection,"built, built-environment, builtup, copernicus, ghsl, jrc, landcover, population, sdg, sentinel2-derived, settlement, urban",https://developers.google.com/earth-engine/datasets/catalog/JRC_GHSL_P2023A_GHS_BUILT_S_10m,https://developers.google.com/earth-engine/datasets/images/JRC/JRC_GHSL_P2023A_GHS_BUILT_S_10m_sample.png
JRC/GHSL/P2023A/GHS_BUILT_V,EC JRC,GHSL: Global building volume 1975-2030 (P2023A),1975-01-01,2030-12-31,1975,2030,image_collection,"alos, building, built-environment, copernicus, dem, ghsl, jrc, population, sdg, sentinel2-derived, srtm, urban",https://developers.google.com/earth-engine/datasets/catalog/JRC_GHSL_P2023A_GHS_BUILT_V,https://developers.google.com/earth-engine/datasets/images/JRC/JRC_GHSL_P2023A_GHS_BUILT_V_sample.png
JRC/GHSL/P2023A/GHS_POP,EC JRC,GHSL: Global population surfaces 1975-2030 (P2023A),1975-01-01,2030-12-31,1975,2030,image_collection,"ciesin-derived, ghsl, jrc, population, sdg",https://developers.google.com/earth-engine/datasets/catalog/JRC_GHSL_P2023A_GHS_POP,https://developers.google.com/earth-engine/datasets/images/JRC/JRC_GHSL_P2023A_GHS_POP_sample.png
JRC/GHSL/P2023A/GHS_SMOD_V2-0,EC JRC,GHSL: Degree of Urbanization 1975-2030 V2-0 (P2023A),1975-01-01,2030-12-31,1975,2030,image_collection,"ghsl, jrc, population, sdg, settlement",https://developers.google.com/earth-engine/datasets/catalog/JRC_GHSL_P2023A_GHS_SMOD_V2-0,https://developers.google.com/earth-engine/datasets/images/JRC/JRC_GHSL_P2023A_GHS_SMOD_V2-0_sample.png
JRC/GSW1_4/GlobalSurfaceWater,EC JRC / Google,"JRC Global Surface Water Mapping Layers, v1.4",1984-03-16,2022-01-01,1984,2022,image,"change-detection, geophysical, google, jrc, landsat-derived, surface, surface-ground-water, water",https://developers.google.com/earth-engine/datasets/catalog/JRC_GSW1_4_GlobalSurfaceWater,https://developers.google.com/earth-engine/datasets/images/JRC/JRC_GSW1_4_GlobalSurfaceWater_sample.png
JRC/GSW1_4/Metadata,EC JRC / Google,"JRC Global Surface Water Metadata, v1.4",1984-03-16,2022-01-01,1984,2022,image,"geophysical, google, jrc, landsat-derived, surface, surface-ground-water, water",https://developers.google.com/earth-engine/datasets/catalog/JRC_GSW1_4_Metadata,https://developers.google.com/earth-engine/datasets/images/JRC/JRC_GSW1_4_Metadata_sample.png
JRC/GSW1_4/MonthlyHistory,EC JRC / Google,"JRC Monthly Water History, v1.4",1984-03-16,2022-01-01,1984,2022,image_collection,"geophysical, google, history, jrc, landsat-derived, monthly, surface, surface-ground-water, water",https://developers.google.com/earth-engine/datasets/catalog/JRC_GSW1_4_MonthlyHistory,https://developers.google.com/earth-engine/datasets/images/JRC/JRC_GSW1_4_MonthlyHistory_sample.png
JRC/GSW1_4/MonthlyRecurrence,EC JRC / Google,"JRC Monthly Water Recurrence, v1.4",1984-03-16,2022-01-01,1984,2022,image_collection,"geophysical, google, history, jrc, landsat-derived, monthly, recurrence, surface, surface-ground-water, water",https://developers.google.com/earth-engine/datasets/catalog/JRC_GSW1_4_MonthlyRecurrence,https://developers.google.com/earth-engine/datasets/images/JRC/JRC_GSW1_4_MonthlyRecurrence_sample.png
JRC/GSW1_4/YearlyHistory,EC JRC / Google,"JRC Yearly Water Classification History, v1.4",1984-03-16,2022-01-01,1984,2022,image_collection,"annual, geophysical, google, history, jrc, landsat-derived, surface, surface-ground-water, water, yearly",https://developers.google.com/earth-engine/datasets/catalog/JRC_GSW1_4_YearlyHistory,https://developers.google.com/earth-engine/datasets/images/JRC/JRC_GSW1_4_YearlyHistory_sample.png
JRC/GWIS/GlobFire/v2/DailyPerimeters,"European Commission, Joint Research Centre, Global Wildfire Information System",GlobFire Daily Fire Event Detection Based on MCD64A1,2001-01-01,2021-01-01,2001,2021,table_collection,"area, burnt, disaster, fire, globfire, mcd64a1, modis-derived, wildfire",https://developers.google.com/earth-engine/datasets/catalog/JRC_GWIS_GlobFire_v2_DailyPerimeters,https://developers.google.com/earth-engine/datasets/images/JRC/JRC_GWIS_GlobFire_v2_DailyPerimeters_sample.png
JRC/GWIS/GlobFire/v2/FinalPerimeters,"European Commission, Joint Research Centre, Global Wildfire Information System",GlobFire Final Fire Event Detection Based on MCD64A1,2001-01-01,2021-01-01,2001,2021,table,"area, burnt, disaster, fire, globfire, mcd64a1, modis-derived, table, wildfire",https://spdx.org/licenses/CC-BY-4.0.html,https://developers.google.com/earth-engine/datasets/images/JRC/JRC_GWIS_GlobFire_v2_FinalPerimeters_sample.png
JRC/LUCAS_HARMO/COPERNICUS_POLYGONS/V1/2018,"Joint Research Center, Unit D5","LUCAS Copernicus (Polygons with attributes, 2018) V1",2006-02-05,2019-03-14,2006,2019,table,"copernicus, eu, jrc, landcover, landuse, landuse-landcover, lucas, table",https://developers.google.com/earth-engine/datasets/catalog/JRC_LUCAS_HARMO_COPERNICUS_POLYGONS_V1_2018,https://developers.google.com/earth-engine/datasets/images/JRC/JRC_LUCAS_HARMO_COPERNICUS_POLYGONS_V1_2018_sample.png
JRC/LUCAS_HARMO/THLOC/V1,"Joint Research Center, Unit D5","LUCAS Harmonized (Theoretical Location, 2006-2018) V1",2006-02-05,2019-03-14,2006,2019,table,"eu, jrc, landcover, landuse, landuse-landcover, lucas, table",https://developers.google.com/earth-engine/datasets/catalog/JRC_LUCAS_HARMO_THLOC_V1,https://developers.google.com/earth-engine/datasets/images/JRC/JRC_LUCAS_HARMO_THLOC_V1_sample.png
JRC/LUCAS/THLOC/V1/2022,"Joint Research Center, Unit D5","LUCAS THLOC (Points with attributes, 2022) V1",2022-01-01,2022-12-31,2022,2022,table,"eu, jrc, landcover, landuse, landuse-landcover, lucas, table",https://developers.google.com/earth-engine/datasets/catalog/JRC_LUCAS_THLOC_V1_2022,https://developers.google.com/earth-engine/datasets/images/JRC/JRC_LUCAS_THLOC_V1_2022_sample.png
KNTU/LiDARLab/IranLandCover/V1,K. N. Toosi University of Technology LiDAR Lab,Iran Land Cover Map v1 13-class (2017),2017-01-01,2018-01-01,2017,2018,image,"iran, kntu, landcover, landuse-landcover",https://developers.google.com/earth-engine/datasets/catalog/KNTU_LiDARLab_IranLandCover_V1,https://developers.google.com/earth-engine/datasets/images/KNTU/KNTU_LiDARLab_IranLandCover_V1_sample.png
LANDFIRE/Fire/FRG/v1_2_0,"U.S. Department of Agriculture's (USDA), U.S. Forest Service (USFS), U.S.
Department of the Interior's Geological Survey (USGS), and The Nature Conservancy.",LANDFIRE FRG (Fire Regime Groups) v1.2.0,2010-01-01,2010-12-31,2010,2010,image_collection,"doi, fire, landfire, nature-conservancy, usda, usgs, vegetation, wildfire",https://developers.google.com/earth-engine/datasets/catalog/LANDFIRE_Fire_FRG_v1_2_0,https://developers.google.com/earth-engine/datasets/images/LANDFIRE/LANDFIRE_Fire_FRG_v1_2_0_sample.png
LANDFIRE/Fire/MFRI/v1_2_0,"U.S. Department of Agriculture's (USDA), U.S. Forest Service (USFS), U.S.
Department of the Interior's Geological Survey (USGS), and The Nature Conservancy.",LANDFIRE MFRI (Mean Fire Return Interval) v1.2.0,2010-01-01,2010-12-31,2010,2010,image_collection,"doi, fire, landfire, nature-conservancy, usda, usgs, vegetation, wildfire",https://developers.google.com/earth-engine/datasets/catalog/LANDFIRE_Fire_MFRI_v1_2_0,https://developers.google.com/earth-engine/datasets/images/LANDFIRE/LANDFIRE_Fire_MFRI_v1_2_0_sample.png
LANDFIRE/Fire/PLS/v1_2_0,"U.S. Department of Agriculture's (USDA), U.S. Forest Service (USFS), U.S.
Department of the Interior's Geological Survey (USGS), and The Nature Conservancy.",LANDFIRE PLS (Percent Low-severity Fire) v1.2.0,2010-01-01,2010-12-31,2010,2010,image_collection,"doi, fire, landfire, nature-conservancy, usda, usgs, vegetation, wildfire",https://developers.google.com/earth-engine/datasets/catalog/LANDFIRE_Fire_PLS_v1_2_0,https://developers.google.com/earth-engine/datasets/images/LANDFIRE/LANDFIRE_Fire_PLS_v1_2_0_sample.png
LANDFIRE/Fire/PMS/v1_2_0,"U.S. Department of Agriculture's (USDA), U.S. Forest Service (USFS), U.S.
Department of the Interior's Geological Survey (USGS), and The Nature Conservancy.",LANDFIRE PMS (Percent of Mixed-severity Fire) v1.2.0,2010-01-01,2010-12-31,2010,2010,image_collection,"doi, fire, landfire, nature-conservancy, usda, usgs, vegetation, wildfire",https://developers.google.com/earth-engine/datasets/catalog/LANDFIRE_Fire_PMS_v1_2_0,https://developers.google.com/earth-engine/datasets/images/LANDFIRE/LANDFIRE_Fire_PMS_v1_2_0_sample.png
LANDFIRE/Fire/PRS/v1_2_0,"U.S. Department of Agriculture's (USDA), U.S. Forest Service (USFS), U.S.
Department of the Interior's Geological Survey (USGS), and The Nature Conservancy.",LANDFIRE PRS (Percent of Replacement-severity Fire) v1.2.0,2010-01-01,2010-12-31,2010,2010,image_collection,"doi, fire, landfire, nature-conservancy, usda, usgs, vegetation, wildfire",https://developers.google.com/earth-engine/datasets/catalog/LANDFIRE_Fire_PRS_v1_2_0,https://developers.google.com/earth-engine/datasets/images/LANDFIRE/LANDFIRE_Fire_PRS_v1_2_0_sample.png
LANDFIRE/Fire/SClass/v1_4_0,"U.S. Department of Agriculture's (USDA), U.S. Forest Service (USFS), U.S.
Department of the Interior's Geological Survey (USGS), and The Nature Conservancy.",LANDFIRE SClass (Succession Classes) v1.4.0,2014-09-01,2014-09-01,2014,2014,image_collection,"doi, fire, landfire, nature-conservancy, usda, usgs, vegetation, wildfire",https://developers.google.com/earth-engine/datasets/catalog/LANDFIRE_Fire_SClass_v1_4_0,https://developers.google.com/earth-engine/datasets/images/LANDFIRE/LANDFIRE_Fire_SClass_v1_4_0_sample.png
LANDFIRE/Fire/VCC/v1_4_0,"U.S. Department of Agriculture's (USDA), U.S. Forest Service (USFS), U.S.
Department of the Interior's Geological Survey (USGS), and The Nature Conservancy.",LANDFIRE VCC (Vegetation Condition Class) v1.4.0,2014-09-01,2014-09-01,2014,2014,image_collection,"doi, fire, landfire, nature-conservancy, usda, usgs, vegetation, wildfire",https://developers.google.com/earth-engine/datasets/catalog/LANDFIRE_Fire_VCC_v1_4_0,https://developers.google.com/earth-engine/datasets/images/LANDFIRE/LANDFIRE_Fire_VCC_v1_4_0_sample.png
LANDFIRE/Fire/VDep/v1_4_0,"U.S. Department of Agriculture's (USDA), U.S. Forest Service (USFS), U.S.
Department of the Interior's Geological Survey (USGS), and The Nature Conservancy.",LANDFIRE VDep (Vegetation Departure) v1.4.0,2014-09-01,2014-09-01,2014,2014,image_collection,"doi, fire, landfire, nature-conservancy, usda, usgs, vegetation, wildfire",https://developers.google.com/earth-engine/datasets/catalog/LANDFIRE_Fire_VDep_v1_4_0,https://developers.google.com/earth-engine/datasets/images/LANDFIRE/LANDFIRE_Fire_VDep_v1_4_0_sample.png
LANDFIRE/Vegetation/BPS/v1_4_0,"U.S. Department of Agriculture's (USDA), U.S. Forest Service (USFS), U.S.
Department of the Interior's Geological Survey (USGS), and The Nature Conservancy.",LANDFIRE BPS (Biophysical Settings) v1.4.0,2014-09-01,2014-09-01,2014,2014,image_collection,"doi, fire, forest-biomass, landfire, nature-conservancy, usda, usgs, vegetation, wildfire",https://developers.google.com/earth-engine/datasets/catalog/LANDFIRE_Vegetation_BPS_v1_4_0,https://developers.google.com/earth-engine/datasets/images/LANDFIRE/LANDFIRE_Vegetation_BPS_v1_4_0_sample.png
LANDFIRE/Vegetation/ESP/v1_2_0/AK,"U.S. Department of Agriculture's (USDA), U.S. Forest Service (USFS), U.S.
Department of the Interior's Geological Survey (USGS), and The Nature Conservancy.",LANDFIRE ESP AK (Environmental Site Potential) v1.2.0,2010-01-01,2010-12-31,2010,2010,image,"doi, fire, forest-biomass, landfire, nature-conservancy, usda, usgs, vegetation, wildfire",https://developers.google.com/earth-engine/datasets/catalog/LANDFIRE_Vegetation_ESP_v1_2_0_AK,https://developers.google.com/earth-engine/datasets/images/LANDFIRE/LANDFIRE_Vegetation_ESP_v1_2_0_AK_sample.png
LANDFIRE/Vegetation/ESP/v1_2_0/CONUS,"U.S. Department of Agriculture's (USDA), U.S. Forest Service (USFS), U.S.
Department of the Interior's Geological Survey (USGS), and The Nature Conservancy.",LANDFIRE ESP CONUS (Environmental Site Potential) v1.2.0,2010-01-01,2010-12-31,2010,2010,image,"doi, fire, forest-biomass, landfire, nature-conservancy, usda, usgs, vegetation, wildfire",https://developers.google.com/earth-engine/datasets/catalog/LANDFIRE_Vegetation_ESP_v1_2_0_CONUS,https://developers.google.com/earth-engine/datasets/images/LANDFIRE/LANDFIRE_Vegetation_ESP_v1_2_0_CONUS_sample.png
LANDFIRE/Vegetation/ESP/v1_2_0/HI,"U.S. Department of Agriculture's (USDA), U.S. Forest Service (USFS), U.S.
Department of the Interior's Geological Survey (USGS), and The Nature Conservancy.",LANDFIRE ESP HI (Environmental Site Potential) v1.2.0,2010-01-01,2010-12-31,2010,2010,image,"doi, fire, forest-biomass, landfire, nature-conservancy, usda, usgs, vegetation, wildfire",https://developers.google.com/earth-engine/datasets/catalog/LANDFIRE_Vegetation_ESP_v1_2_0_HI,https://developers.google.com/earth-engine/datasets/images/LANDFIRE/LANDFIRE_Vegetation_ESP_v1_2_0_HI_sample.png
LANDFIRE/Vegetation/EVC/v1_4_0,"U.S. Department of Agriculture's (USDA), U.S. Forest Service (USFS), U.S.
Department of the Interior's Geological Survey (USGS), and The Nature Conservancy.",LANDFIRE EVC (Existing Vegetation Cover) v1.4.0,2014-09-01,2014-09-01,2014,2014,image_collection,"doi, fire, forest-biomass, landfire, nature-conservancy, usda, usgs, vegetation, wildfire",https://developers.google.com/earth-engine/datasets/catalog/LANDFIRE_Vegetation_EVC_v1_4_0,https://developers.google.com/earth-engine/datasets/images/LANDFIRE/LANDFIRE_Vegetation_EVC_v1_4_0_sample.png
LANDFIRE/Vegetation/EVH/v1_4_0,"U.S. Department of Agriculture's (USDA), U.S. Forest Service (USFS), U.S.
Department of the Interior's Geological Survey (USGS), and The Nature Conservancy.",LANDFIRE EVH (Existing Vegetation Height) v1.4.0,2014-09-01,2014-09-01,2014,2014,image_collection,"doi, fire, forest-biomass, landfire, nature-conservancy, usda, usgs, vegetation, wildfire",https://developers.google.com/earth-engine/datasets/catalog/LANDFIRE_Vegetation_EVH_v1_4_0,https://developers.google.com/earth-engine/datasets/images/LANDFIRE/LANDFIRE_Vegetation_EVH_v1_4_0_sample.png
LANDFIRE/Vegetation/EVT/v1_4_0,"U.S. Department of Agriculture's (USDA), U.S. Forest Service (USFS), U.S.
Department of the Interior's Geological Survey (USGS), and The Nature Conservancy.",LANDFIRE EVT (Existing Vegetation Type) v1.4.0,2014-09-01,2014-09-01,2014,2014,image_collection,"doi, fire, forest-biomass, landfire, nature-conservancy, usda, usgs, vegetation, wildfire",https://developers.google.com/earth-engine/datasets/catalog/LANDFIRE_Vegetation_EVT_v1_4_0,https://developers.google.com/earth-engine/datasets/images/LANDFIRE/LANDFIRE_Vegetation_EVT_v1_4_0_sample.png
LANDSAT/COMPOSITES/C02/T1_L2_8DAY,Google,Landsat Collection 2 Tier 1 Level 2 8-Day Composite,1984-01-01,2025-12-11,1984,2025,image_collection,"landsat, landsat-composite, satellite-imagery, sr, usgs",https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_COMPOSITES_C02_T1_L2_8DAY,https://developers.google.com/earth-engine/datasets/images/LANDSAT/LANDSAT_COMPOSITES_C02_T1_L2_8DAY_sample.png
LANDSAT/COMPOSITES/C02/T1_L2_8DAY_BAI,Google,Landsat Collection 2 Tier 1 Level 2 8-Day BAI Composite,1984-01-01,2025-12-11,1984,2025,image_collection,"bai, fire, landsat, landsat-composite, usgs, vegetation-indices",https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_COMPOSITES_C02_T1_L2_8DAY_BAI,https://developers.google.com/earth-engine/datasets/images/LANDSAT/LANDSAT_COMPOSITES_C02_T1_L2_8DAY_BAI_sample.png
LANDSAT/COMPOSITES/C02/T1_L2_8DAY_EVI,Google,Landsat Collection 2 Tier 1 Level 2 8-Day EVI Composite,1984-01-01,2025-12-11,1984,2025,image_collection,"evi, landsat, landsat-composite, usgs, vegetation, vegetation-indices",https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_COMPOSITES_C02_T1_L2_8DAY_EVI,https://developers.google.com/earth-engine/datasets/images/LANDSAT/LANDSAT_COMPOSITES_C02_T1_L2_8DAY_EVI_sample.png
LANDSAT/COMPOSITES/C02/T1_L2_8DAY_NBR,Google,Landsat Collection 2 Tier 1 Level 2 8-Day NBR Composite,1984-01-01,2025-12-11,1984,2025,image_collection,"fire, landsat, landsat-composite, nbrt, usgs, vegetation-indices",https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_COMPOSITES_C02_T1_L2_8DAY_NBR,https://developers.google.com/earth-engine/datasets/images/LANDSAT/LANDSAT_COMPOSITES_C02_T1_L2_8DAY_NBR_sample.png
LANDSAT/COMPOSITES/C02/T1_L2_8DAY_NDVI,Google,Landsat Collection 2 Tier 1 Level 2 8-Day NDVI Composite,1984-01-01,2025-12-11,1984,2025,image_collection,"landsat, landsat-composite, ndvi, usgs, vegetation, vegetation-indices",https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_COMPOSITES_C02_T1_L2_8DAY_NDVI,https://developers.google.com/earth-engine/datasets/images/LANDSAT/LANDSAT_COMPOSITES_C02_T1_L2_8DAY_NDVI_sample.png
LANDSAT/COMPOSITES/C02/T1_L2_8DAY_NDWI,Google,Landsat Collection 2 Tier 1 Level 2 8-Day NDWI Composite,1984-01-01,2025-12-11,1984,2025,image_collection,"landsat, landsat-composite, ndwi, surface-ground-water, usgs",https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_COMPOSITES_C02_T1_L2_8DAY_NDWI,https://developers.google.com/earth-engine/datasets/images/LANDSAT/LANDSAT_COMPOSITES_C02_T1_L2_8DAY_NDWI_sample.png
LANDSAT/COMPOSITES/C02/T1_L2_32DAY,Google,Landsat Collection 2 Tier 1 Level 2 32-Day Composite,1984-01-01,2025-11-17,1984,2025,image_collection,"landsat, landsat-composite, satellite-imagery, sr, usgs",https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_COMPOSITES_C02_T1_L2_32DAY,https://developers.google.com/earth-engine/datasets/images/LANDSAT/LANDSAT_COMPOSITES_C02_T1_L2_32DAY_sample.png
LANDSAT/COMPOSITES/C02/T1_L2_32DAY_BAI,Google,Landsat Collection 2 Tier 1 Level 2 32-Day BAI Composite,1984-01-01,2025-11-17,1984,2025,image_collection,"bai, fire, landsat, landsat-composite, usgs, vegetation-indices",https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_COMPOSITES_C02_T1_L2_32DAY_BAI,https://developers.google.com/earth-engine/datasets/images/LANDSAT/LANDSAT_COMPOSITES_C02_T1_L2_32DAY_BAI_sample.png
LANDSAT/COMPOSITES/C02/T1_L2_32DAY_EVI,Google,Landsat Collection 2 Tier 1 Level 2 32-Day EVI Composite,1984-01-01,2025-11-17,1984,2025,image_collection,"evi, landsat, landsat-composite, usgs, vegetation, vegetation-indices",https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_COMPOSITES_C02_T1_L2_32DAY_EVI,https://developers.google.com/earth-engine/datasets/images/LANDSAT/LANDSAT_COMPOSITES_C02_T1_L2_32DAY_EVI_sample.png
LANDSAT/COMPOSITES/C02/T1_L2_32DAY_NBR,Google,Landsat Collection 2 Tier 1 Level 2 32-Day NBR Composite,1984-01-01,2025-11-17,1984,2025,image_collection,"fire, landsat, landsat-composite, nbrt, usgs, vegetation-indices",https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_COMPOSITES_C02_T1_L2_32DAY_NBR,https://developers.google.com/earth-engine/datasets/images/LANDSAT/LANDSAT_COMPOSITES_C02_T1_L2_32DAY_NBR_sample.png
LANDSAT/COMPOSITES/C02/T1_L2_32DAY_NDVI,Google,Landsat Collection 2 Tier 1 Level 2 32-Day NDVI Composite,1984-01-01,2025-11-17,1984,2025,image_collection,"landsat, landsat-composite, ndvi, usgs, vegetation, vegetation-indices",https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_COMPOSITES_C02_T1_L2_32DAY_NDVI,https://developers.google.com/earth-engine/datasets/images/LANDSAT/LANDSAT_COMPOSITES_C02_T1_L2_32DAY_NDVI_sample.png
LANDSAT/COMPOSITES/C02/T1_L2_32DAY_NDWI,Google,Landsat Collection 2 Tier 1 Level 2 32-Day NDWI Composite,1984-01-01,2025-11-17,1984,2025,image_collection,"landsat, landsat-composite, ndwi, surface-ground-water, usgs",https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_COMPOSITES_C02_T1_L2_32DAY_NDWI,https://developers.google.com/earth-engine/datasets/images/LANDSAT/LANDSAT_COMPOSITES_C02_T1_L2_32DAY_NDWI_sample.png
LANDSAT/COMPOSITES/C02/T1_L2_ANNUAL,Google,Landsat Collection 2 Tier 1 Level 2 Annual Composite,1984-01-01,2025-01-01,1984,2025,image_collection,"landsat, landsat-composite, satellite-imagery, sr, usgs",https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_COMPOSITES_C02_T1_L2_ANNUAL,https://developers.google.com/earth-engine/datasets/images/LANDSAT/LANDSAT_COMPOSITES_C02_T1_L2_ANNUAL_sample.png
LANDSAT/COMPOSITES/C02/T1_L2_ANNUAL_BAI,USGS,Landsat Collection 2 Tier 1 Level 2 Annual BAI Composite,1984-01-01,2025-01-01,1984,2025,image_collection,"bai, fire, landsat, landsat-composite, usgs, vegetation-indices",https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_COMPOSITES_C02_T1_L2_ANNUAL_BAI,https://developers.google.com/earth-engine/datasets/images/LANDSAT/LANDSAT_COMPOSITES_C02_T1_L2_ANNUAL_BAI_sample.png
LANDSAT/COMPOSITES/C02/T1_L2_ANNUAL_EVI,USGS,Landsat Collection 2 Tier 1 Level 2 Annual EVI Composite,1984-01-01,2025-01-01,1984,2025,image_collection,"evi, landsat, landsat-composite, usgs, vegetation, vegetation-indices",https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_COMPOSITES_C02_T1_L2_ANNUAL_EVI,https://developers.google.com/earth-engine/datasets/images/LANDSAT/LANDSAT_COMPOSITES_C02_T1_L2_ANNUAL_EVI_sample.png
LANDSAT/COMPOSITES/C02/T1_L2_ANNUAL_NBR,USGS,Landsat Collection 2 Tier 1 Level 2 Annual NBR Composite,1984-01-01,2025-01-01,1984,2025,image_collection,"fire, landsat, landsat-composite, nbrt, usgs, vegetation-indices",https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_COMPOSITES_C02_T1_L2_ANNUAL_NBR,https://developers.google.com/earth-engine/datasets/images/LANDSAT/LANDSAT_COMPOSITES_C02_T1_L2_ANNUAL_NBR_sample.png
LANDSAT/COMPOSITES/C02/T1_L2_ANNUAL_NDVI,USGS,Landsat Collection 2 Tier 1 Level 2 Annual NDVI Composite,1984-01-01,2025-01-01,1984,2025,image_collection,"landsat, landsat-composite, ndvi, usgs, vegetation, vegetation-indices",https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_COMPOSITES_C02_T1_L2_ANNUAL_NDVI,https://developers.google.com/earth-engine/datasets/images/LANDSAT/LANDSAT_COMPOSITES_C02_T1_L2_ANNUAL_NDVI_sample.png
LANDSAT/COMPOSITES/C02/T1_L2_ANNUAL_NDWI,USGS,Landsat Collection 2 Tier 1 Level 2 Annual NDWI Composite,1984-01-01,2025-01-01,1984,2025,image_collection,"landsat, landsat-composite, ndwi, surface-ground-water, usgs",https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_COMPOSITES_C02_T1_L2_ANNUAL_NDWI,https://developers.google.com/earth-engine/datasets/images/LANDSAT/LANDSAT_COMPOSITES_C02_T1_L2_ANNUAL_NDWI_sample.png
LANDSAT/GLS1975,USGS,Landsat Global Land Survey 1975,1972-07-25,1983-02-20,1972,1983,image_collection,"global, gls, landsat, radiance, satellite-imagery, usgs",https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_GLS1975,https://developers.google.com/earth-engine/datasets/images/LANDSAT/LANDSAT_GLS1975_sample.png
LANDSAT/GLS1975_MOSAIC,USGS,Landsat Global Land Survey 1975 Mosaic,1975-01-01,1976-01-01,1975,1976,image_collection,"gls, landsat, radiance, satellite-imagery, usgs",https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_GLS1975_MOSAIC,https://developers.google.com/earth-engine/datasets/images/LANDSAT/LANDSAT_GLS1975_MOSAIC_sample.png
LANDSAT/GLS2005,USGS,"Landsat Global Land Survey 2005, Landsat 5+7 scenes",2003-07-29,2008-07-29,2003,2008,image_collection,"gls, landsat, radiance, satellite-imagery, usgs",https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_GLS2005,https://developers.google.com/earth-engine/datasets/images/LANDSAT/LANDSAT_GLS2005_sample.png
